	Word	PoS	FrCo		LogLike	FrTO
	equal	Adj	9	-	246.4	67
	clients	NoC	2	-	246.0	48
	taping	Verb	40	+	245.9	1
	ma	NoC	35	+	245.7	0
	O / o	Lett	155	-	245.4	306
	traffic	NoC	54	-	245.4	155
	toast	NoC	42	+	245.4	2
	panel	NoC	7	-	245.2	62
	who	Pron	1534	-	244.9	1948
	countryside	NoC	4	-	244.8	53
	as it were	Adv	8	-	244.7	65
	employers	NoC	1	-	244.5	44
	cupboard	NoC	63	+	244.0	9
	Bryony	NoP	35	+	244.0	0
	ay	Int	35	+	244.0	0
	north	NoC	36	-	243.9	124
	coming	Verb	657	+	242.4	430
	address	Verb	1	-	241.9	43
	Amy	NoP	48	+	241.4	4
	campaign	NoC	4	-	241.3	55
	value	NoC	25	-	240.8	101
	individuals	NoC	3	-	240.4	50
	recent	Adj	5	-	240.2	57
	fish	NoC	117	+	240.1	35
	benefit	NoC	25	-	240.0	101
	higher	Adj	22	-	239.8	96
	nothing	Pron	521	+	239.5	322
	fancy	Verb	66	+	239.3	10
	contract	NoC	21	-	238.8	93
	correct	Adj	21	-	237.3	93
	savings	NoC	4	-	237.2	52
	industrial	Adj	6	-	237.1	59
	migration	NoC	0	-	237.0	39
	total	Adj	15	-	236.9	81
	trousers	NoC	65	+	236.5	10
	objectives	NoC	1	-	236.5	41
	Sally	NoP	53	+	236.4	6
	ourselves	Pron	23	-	236.3	97
	salad	NoC	38	+	235.8	1
	guidance	NoC	1	-	235.5	44
	S / s	Lett	175	-	235.3	330
	dealing	Verb	13	-	235.2	76
	opportunities	NoC	2	-	235.2	46
	welcome	Verb	3	-	234.9	51
	organisations	NoC	0	-	234.9	38
	eating	Verb	78	+	234.3	16
	milk	NoC	109	+	234.1	32
	interesting	Adj	79	-	233.7	191
	old	Adj	663	+	233.6	438
	Dee	NoP	34	+	233.3	0
	jumper	NoC	40	+	233.2	2
	reduction	NoC	3	-	233.0	50
	Selby	NoP	2	-	232.8	46
	reform	NoC	2	-	232.6	47
	black	Adj	218	+	232.6	99
	toilet	NoC	77	+	232.3	16
	international	Adj	6	-	231.7	59
	university	NoC	28	-	231.7	106
	aspects	NoC	3	-	231.6	48
	less	Adv	60	-	231.6	160
	I / i	Lett	116	-	231.3	246
	understand	Verb	124	-	231.3	256
	west	NoC	25	-	231.2	99
	crime	NoC	5	-	231.1	55
	'd (=had)	Verb	715	+	230.9	482
	demand	NoC	3	-	230.9	49
	bottle	NoC	93	+	230.2	23
	hang	Verb	165	+	229.8	65
	likely	Adj	40	-	229.8	126
	pressure	NoC	27	-	229.7	103
	discuss	Verb	8	-	229.6	64
	elections	NoC	1	-	229.5	43
	building	NoC	62	-	229.4	163
	ability	NoC	7	-	229.3	61
	Dave	NoP	109	+	228.7	32
	network	NoC	2	-	228.3	45
	facilities	NoC	6	-	228.0	58
	Thursday	NoP	142	+	228.0	52
	line	NoC	107	-	227.7	231
	packet	NoC	52	+	227.5	6
	microwave	NoC	37	+	227.2	1
	week	NoC	774	+	227.0	533
	activities	NoC	3	-	226.9	48
	chief	Adj	4	-	226.4	52
	context	NoC	5	-	226.3	56
	plaintiff	NoC	0	-	226.2	35
	energy	NoC	10	-	226.1	67
	funds	NoC	3	-	225.8	47
	tired	Adj	87	+	225.5	21
	cream	NoC	77	+	225.4	16
	bollocks	NoC	34	+	225.1	1
	back	Adv	1408	+	225.1	1076
	division	NoC	13	-	225.0	73
	plans	NoC	13	-	224.6	74
	organisation	NoC	1	-	224.3	39
	proposed	Adj	1	-	224.3	39
	minister	NoC	17	-	224.2	82
	raise	Verb	8	-	224.0	62
	improve	Verb	7	-	224.0	60
	independent	Adj	7	-	223.8	59
	sixty	Num	200	-	223.5	358
	believe	Verb	169	-	223.5	317
	allow	Verb	15	-	223.1	79
	not	Neg	5078	+	222.8	4429
	technical	Adj	5	-	222.3	52
	these	DetP	1071	-	222.2	1404
	currently	Adv	2	-	222.1	44
	H / h	Lett	64	-	222.0	164
	decisions	NoC	7	-	221.9	58
	saw	Verb	287	+	221.5	150
	etcetera	Adv	9	-	221.0	64
	la	Uncl	80	+	220.8	18
	revolution	NoC	2	-	220.0	45
	providing	Verb	6	-	219.9	55
	arse	NoC	38	+	219.8	2
	past	NoC	19	-	219.5	85
	seek	Verb	1	-	219.2	38
	walk	Verb	184	+	219.1	80
	numbers	NoC	52	-	218.9	144
	programme	NoC	70	-	218.7	173
	forgot	Verb	80	+	218.3	18
	disgusting	Adj	50	+	218.3	6
	consideration	NoC	5	-	218.3	53
	risk	NoC	6	-	218.1	56
	third	Ord	71	-	218.1	174
	enquiry	NoC	2	-	218.1	45
	bus	NoC	149	+	217.9	57
	suggestion	NoC	4	-	217.7	49
	bugger	NoC	42	+	217.6	3
	bom	NoC	32	+	217.5	0	[[?]]
	on	Prep	5245	-	217.1	5943
	media	NoC	3	-	217.1	45
	Scott	NoP	47	+	216.7	4
	wow	Int	49	+	216.7	5
	aargh	Int	38	+	216.4	2
	in favour of	Prep	2	-	216.1	44
	actual	Adj	56	-	215.9	150
	possibly	Adv	39	-	215.9	121
	as	Adv	385	-	215.5	590
	revenue	NoC	1	-	215.5	41
	essential	Adj	2	-	215.5	43
	democracy	NoC	0	-	215.2	37
	technology	NoC	7	-	214.5	58
	wine	NoC	74	+	214.5	16
	Michelle	NoP	37	+	214.2	2
	central	Adj	28	-	214.0	101
	attention	NoC	15	-	213.9	75
	majority	NoC	15	-	213.9	75
	advertising	NoC	6	-	213.8	56
	playing	Verb	165	+	213.7	68
	difficulties	NoC	3	-	213.7	46
	laughing	Verb	57	+	213.5	9
	branch	NoC	10	-	213.0	65
	examples	NoC	2	-	212.9	41
	increase	Verb	11	-	212.9	67
	ninety	Num	243	-	212.8	410
	back	NoC	361	+	212.7	208
	considerable	Adj	1	-	212.5	40
	discussed	Verb	3	-	212.1	47
	contribution	NoC	3	-	212.1	47
	introduced	Verb	3	-	212.1	47
	behaviour	NoC	6	-	211.7	54
	represent	Verb	1	-	211.5	40
	practice	NoC	22	-	211.5	89
	white	Adj	194	+	211.5	88
	in particular	Adv	4	-	210.5	49
	bothered	Verb	84	+	210.5	21
	ages	NoC	85	+	210.5	21
	refer	Verb	5	-	210.1	51
	defence	NoC	5	-	209.9	52
	each	DetP	160	-	209.9	299
	recommendations	NoC	1	-	209.5	38
	go	NoC	153	+	209.5	61
	suggesting	Verb	2	-	209.3	43
	yet	Adv	403	+	209.3	241
	yep	Int	176	+	209.1	76
	till	Prep	183	+	209.1	81
	apply	Verb	12	-	208.9	69
	Dawn	NoP	37	+	208.8	2
	trust	NoC	8	-	208.8	60
	introduce	Verb	2	-	208.4	43
	countries	NoC	19	-	208.2	82
	duty	NoC	8	-	208.1	58
	event	NoC	4	-	208.0	48
	bedroom	NoC	110	+	207.8	35
	supported	Verb	1	-	207.5	37
	propose	Verb	1	-	207.4	38
	acid	NoC	5	-	207.2	51
	entirely	Adv	9	-	207.0	62
	three	Num	1499	-	206.5	1873
	analysis	NoC	2	-	206.5	42
	Laura	NoP	36	+	206.4	2
	per cent	NoC	27	-	206.4	98
	stop	Verb	307	+	206.1	169
	when	Adv	656	+	205.9	445
	comment	Verb	4	-	205.2	48
	accepted	Verb	7	-	204.9	57
	annual	Adj	5	-	204.8	49
	sleep	Verb	82	+	204.7	20
	mouth	NoC	84	+	204.6	21
	pudding	NoC	44	+	204.4	4
	concept	NoC	1	-	204.0	36
	moon	NoC	49	+	203.9	6
	hectares	NoC	0	-	203.3	32
	States	NoP	6	-	203.1	54
	Sussex	NoP	1	-	202.6	39
	effective	Adj	7	-	202.4	54
	Fox	NoP	5	-	202.0	49
	direct	Adj	10	-	201.7	62
	respond	Verb	4	-	201.3	48
	too	Adv	764	+	201.2	537
	create	Verb	6	-	201.2	53
	items	NoC	8	-	200.8	56
	parliament	NoC	8	-	200.8	56
	lunch	NoC	116	+	200.8	40
	projects	NoC	2	-	200.6	41
	gorgeous	Adj	39	+	200.4	3
	Ps / ps	Lett	1	-	200.4	37		
	dwellings	NoC	0	-	200.2	31
	shower	NoC	46	+	200.1	5
	Monday	NoP	191	+	199.8	88
	rang	Verb	74	+	199.3	17
	rule	NoC	10	-	198.3	62
	bin	NoC	43	+	198.3	4
	nil	Pron	17	-	198.1	77
	fat	Adj	48	+	197.8	6
	whole	NoC	36	-	197.4	112
	earlier	Adv	37	-	197.3	113
	districts	NoC	2	-	197.1	39
	personal	Adj	25	-	197.1	92
	nevertheless	Adv	3	-	196.9	42
	market	NoC	76	-	196.9	175
	microphone	NoC	56	+	196.8	9
	make	Verb	814	-	196.7	1089
	research	NoC	21	-	196.7	85
	levels	NoC	14	-	196.7	71
	effects	NoC	6	-	196.6	51
	basic	Adj	16	-	196.5	74
	doing	Verb	1106	+	196.4	832
	extremely	Adv	14	-	196.2	69
	rice	NoC	34	+	195.9	2
	identified	Verb	2	-	195.8	40
	off	Prep	439	+	195.7	274
	Richard	NoP	124	+	195.7	45
	directly	Adv	4	-	195.6	45
	seen	Verb	473	+	195.5	301
	boundary	NoC	1	-	195.4	37
	dirty	Adj	68	+	195.3	15
	relationship	NoC	16	-	194.9	74
	identify	Verb	3	-	194.7	43
	legs	NoC	89	+	193.5	26
	finally	Adv	14	-	193.5	71
	assessment	NoC	3	-	192.8	43
	include	Verb	7	-	192.7	54
	performance	NoC	8	-	192.6	56
	definition	NoC	3	-	192.1	41
	further	Adv	48	-	192.0	131
	route	NoC	9	-	191.7	58
	objective	NoC	1	-	191.4	36
	Sam	NoP	45	+	191.3	5
	crap	NoC	48	+	191.2	6
	must	VMod	716	+	191.0	502
	expenditure	NoC	2	-	191.0	38
	on behalf of	Prep	3	-	190.9	42
	ours	Pron	105	+	190.8	35
	twelfths	Num	0	-	190.8	30
	communist	Adj	1	-	190.4	36
	interests	NoC	5	-	190.1	46
	mad	Adj	65	+	190.0	14
	formally	Adv	0	-	189.7	32
	sweet	Adj	55	+	189.6	9
	employees	NoC	1	-	189.4	35
	Kyle	NoP	25	+	189.2	0
	required	Verb	5	-	189.1	48
	cold	NoC	57	+	189.1	10
	naughty	Adj	46	+	189.0	6
	watching	Verb	103	+	188.7	34
	Lee	NoP	48	+	188.7	6
	cheeky	Adj	29	+	188.5	1
	listen	Verb	183	+	188.3	85
	nearly	Adv	185	+	187.5	87
	becomes	Verb	8	-	187.4	56
	patients	NoC	8	-	187.4	56
	deal	NoC	29	-	187.2	98
	manager	NoC	26	-	187.0	92
	difficulty	NoC	9	-	187.0	56
	round	Prep	326	+	186.4	189
	sing	Verb	85	+	186.3	24
	recommendation	NoC	2	-	186.2	39
	together	Adv	181	-	186.1	317
	Marks	NoP	48	+	186.1	7
	Carla	NoP	24	+	185.6	0
	previously	Adv	1	-	185.4	35
	goods	NoC	10	-	185.3	59
	up	Prep	214	+	184.8	108
	importance	NoC	3	-	184.8	41
	orange	NoC	42	+	184.7	5
	Ryedale	NoP	0	-	184.5	29
	total	NoC	8	-	184.5	53
	beyond	Prep	8	-	184.5	53
	Alex	NoP	51	+	184.2	8
	pretty	Adj	63	+	184.1	13
	families	NoC	12	-	183.4	63
	lordship	NoC	1	-	183.3	34
	look	NoC	304	+	183.3	174
	tenants	NoC	2	-	183.2	37
	proportion	NoC	2	-	183.2	38
	opinion	NoC	11	-	182.3	61
	legal	Adj	11	-	182.2	62
	rates	NoC	16	-	181.9	71
	blue	Adj	134	+	181.8	54
	several	DetP	26	-	181.8	90
	briefly	Adv	4	-	181.6	42
	substantial	Adj	2	-	181.2	37
	Raymond	NoP	29	+	181.0	1
	progress	NoC	3	-	181.0	40
	answer	Verb	23	-	180.7	85
	unemployment	NoC	7	-	180.7	52
	committees	NoC	1	-	180.4	34
	strongly	Adv	1	-	180.4	34
	sentence	NoC	9	-	180.4	56
	caravan	NoC	53	+	180.4	9
	umm	Int	26	+	180.2	0
	dun	Verb	26	+	180.2	0	
	forces	NoC	4	-	179.8	42
	factor	NoC	4	-	179.8	42
	achieved	Verb	3	-	179.7	39
	on to	Prep	85	-	179.5	183
	northern	Adj	5	-	179.3	46
	happens	Verb	82	-	179.2	179
	noble	Adj	0	-	179.1	30
	resolution	NoC	9	-	179.1	55
	powers	NoC	1	-	178.8	35
	capacity	NoC	3	-	178.7	39
	crisps	NoC	31	+	178.6	1
	used (to)	VMod	607	-	178.6	835
	activity	NoC	8	-	178.1	53
	walked	Verb	93	+	177.7	30
	OK*	Adv	45	+	177.6	6
	interested	Adj	60	-	177.5	145
	bum	NoC	37	+	177.5	3
	documents	NoC	2	-	177.4	36
	location	NoC	3	-	177.2	39
	house	NoC	568	+	177.1	386
	joking	Verb	40	+	177.0	4
	task	NoC	4	-	177.0	41
	reduce	Verb	6	-	176.9	47
	freezer	NoC	33	+	176.8	2
	despite	Prep	2	-	176.5	35
	release	NoC	2	-	176.4	37
	team	NoC	47	-	176.3	124
	copy	NoC	17	-	176.2	72
	colour	NoC	145	+	175.8	62
	liberal*	Adj	3	-	175.8	40
	marketing	NoC	2	-	175.6	37
	report	Verb	6	-	175.3	48
	common	Adj	29	-	174.7	94
	lords	NoC	2	-	174.6	35
	theory	NoC	9	-	174.4	54
	led	Verb	3	-	174.4	39
	Kuwait	NoP	0	-	174.0	29
	target	NoC	5	-	173.7	43
	teddy	NoC	30	+	173.6	1
	breakfast	NoC	67	+	173.6	16
	parents	NoC	61	-	173.5	146
	Wednesday	NoP	143	+	173.5	61
	settlements	NoC	0	-	173.0	27
	hurry	Verb	35	+	173.0	3
	joint	Adj	8	-	172.5	51
	seeking	Verb	1	-	172.3	32
	sleep	NoC	65	+	172.2	15
	similar	Adj	31	-	172.2	96
	recording	Verb	68	+	172.1	17
	bike	NoC	66	+	172.1	16
	worry	Verb	142	+	171.9	61
	Lisa	NoP	42	+	171.9	5
	Tory	Adj	6	-	171.8	47
	critical	Adj	2	-	171.6	34
	D / d	Lett	118	-	171.6	227
	solution	NoC	3	-	171.5	38
	conversation	NoC	100	+	171.4	34
	pissed	Adj	23	+	171.2	0
	becoming	Verb	3	-	171.1	39
	explain	Verb	29	-	170.7	93
	secondly	Adv	4	-	170.5	40
	method	NoC	5	-	170.1	43
	as well as	Prep	21	-	170.0	79
	organizations	NoC	1	-	170.0	33
	knowledge	NoC	9	-	170.0	55
	status	NoC	2	-	169.9	37
	included	Verb	6	-	169.8	46
	reference	NoC	11	-	169.8	58
	term	NoC	55	-	169.7	134
	carrots	NoC	30	+	169.3	2
	both	Adv	61	-	169.2	144
	brief	Adj	3	-	169.2	39
	reality	NoC	3	-	169.2	37
	cook	Verb	47	+	169.0	8
	phone	Verb	89	+	168.8	29
	helpful	Adj	8	-	168.7	51
	lot*	NoC	840	-	168.5	1096
	Chris	NoP	112	+	168.1	42
	yum	Int	24	+	167.9	0
	matter	NoC	88	-	167.7	184
	egg	NoC	61	+	167.6	14
	balance	NoC	10	-	167.5	57
	civil	Adj	5	-	167.5	43
	worked	Verb	94	-	167.2	192
	way	NoC	1081	-	166.9	1368
	forms	NoC	12	-	166.9	59
	elements	NoC	2	-	166.7	34
	Sarah	NoP	70	+	166.7	18
	recall	Verb	4	-	166.5	42
	merely	Adv	1	-	166.5	30
	increased	Verb	3	-	166.4	37
	shirt	NoC	43	+	166.1	6
	ugh	Int	26	+	166.0	1
	seems	Verb	122	-	166.0	230
	results	NoC	14	-	165.8	63
	Y / y	Lett	32	-	165.7	96
	conflict	NoC	1	-	165.5	32
	per	Prep	33	-	165.5	98
	allocation	NoC	1	-	165.0	32
	Tesco	NoP	36	+	164.8	3
	increasing	Adj	0	-	164.7	27
	already	Adv	190	-	164.7	319
	cheap	Adj	98	+	164.6	34
	students	NoC	17	-	164.4	69
	course*	Adv	117	+	163.9	46
	blooming	Adj	31	+	163.9	2
	aspect	NoC	3	-	163.3	38
	downstairs	Adv	52	+	163.3	10
	ego	NoC	1	-	163.3	30
	office	NoC	107	-	163.2	209
	proposed	Verb	1	-	163.1	32
	bitch	NoC	28	+	163.0	1
	recently	Adv	25	-	162.7	84
	weird	Adj	52	+	162.6	10
	stay	Verb	204	+	162.5	106
	receive	Verb	11	-	162.5	57
	Soviet	Adj	1	-	162.3	30
	blimey	Int	32	+	161.8	2
	basically	Adv	80	-	161.6	170
	quite	Adv	897	-	161.5	1155
	single	Adj	49	-	161.3	124
	'd (=would)	VMod	1360	+	161.3	1081
	nose	NoC	65	+	161.3	16
	gosh	Int	48	+	161.2	9
	done	Verb	1077	+	161.2	831
	presentation	NoC	6	-	160.8	45
	pink	Adj	60	+	160.8	14
	rather	Adv	142	-	160.8	255
	laws	NoC	3	-	160.6	38
	Clare	NoP	47	+	160.4	8
	purposes	NoC	2	-	160.1	34
	implications	NoC	0	-	160.0	28
	responsible	Adj	15	-	160.0	65
	day	NoC	876	+	159.9	657
	hurt	Verb	67	+	159.7	18
	Dan	NoP	39	+	159.7	5
	charges	NoC	5	-	159.5	42
	y'know	Int	1	-	159.4	29
	present	Verb	2	-	159.4	35
	cunt	NoC	22	+	159.3	0
	Aaron	NoP	27	+	159.2	1
	two	Num	2465	-	159.2	2878
	differences	NoC	2	-	158.9	33
	fully	Adv	12	-	158.9	58
	sister	NoC	99	+	158.6	36
	immediately	Adv	14	-	158.2	62
	gentleman	NoC	9	-	158.1	52
	including	Prep	16	-	157.9	65
	detailed	Adj	3	-	157.8	37
	boring	Adj	66	+	157.7	17
	o'clock	Adv	253	+	157.6	143
	sorts	NoC	46	-	157.6	117
	pussy	NoC	22	+	157.5	0
	around	Prep	84	-	157.2	173
	professor	NoC	3	-	157.1	37
	butter	NoC	48	+	157.1	9
	held	Verb	23	-	157.0	79
	inner	Adj	2	-	157.0	33
	kiss	NoC	31	+	157.0	2
	reported	Verb	3	-	156.9	35
	dealt	Verb	6	-	156.9	45
	occasions	NoC	5	-	156.6	40
	specifically	Adv	4	-	156.6	38
	former	DetP	2	-	156.5	34
	domestic	Adj	2	-	156.5	34
	southern	Adj	6	-	156.5	45
	turn	Verb	264	+	156.5	152
	reproductive	Adj	0	-	156.4	24
	sick	Adj	100	+	156.0	37
	options	NoC	4	-	155.7	38
	joke	NoC	49	+	155.6	9
	potatoes	NoC	57	+	155.4	13
	bid	NoC	2	-	155.3	33
	rubbish	NoC	90	+	155.1	31
	enable	Verb	2	-	155.1	32
	committed	Verb	4	-	154.9	37
	brilliant	Adj	113	+	154.7	45
	courses	NoC	9	-	154.7	51
	baby	NoC	139	+	154.7	62
	composite	Adj	0	-	154.4	26
	exist	Verb	3	-	154.3	36
	potential	Adj	2	-	154.3	33
	violence	NoC	4	-	153.8	39
	piss	NoC	23	+	153.8	0
	prepared	Adj	16	-	153.8	65
	residential	Adj	1	-	153.6	30
	professional	Adj	9	-	153.5	50
	threat	NoC	1	-	153.4	28
	agriculture	NoC	0	-	153.2	24
	Dr	NoC	2	-	153.1	31
	warm	Adj	88	+	152.8	30
	sandwich	NoC	32	+	152.7	3
	high	Adj	123	-	152.6	227
	clever	Adj	64	+	152.4	17
	input	NoC	1	-	152.3	30
	offspring	NoC	0	-	152.2	24
	states	NoC	2	-	152.2	32
	relatively	Adv	5	-	152.1	42
	were	Verb	2508	-	151.8	2914
	affect	Verb	9	-	151.6	50
	past	Adj	9	-	151.6	50
	associated	Verb	1	-	151.3	28
	talked	Verb	32	-	151.2	92
	whilst	Conj	9	-	150.8	50
	window	NoC	136	+	150.8	61
	private	Adj	33	-	150.8	94
	whom	Pron	5	-	150.7	41
	brown	Adj	56	+	150.6	13
	asleep	Adj	51	+	150.4	11
	his*	Pron	54	+	150.4	12
	seventy	Num	140	-	150.3	248
	fundamental	Adj	0	-	150.3	25
	had	Verb	3081	+	149.9	2667
	bear	NoC	39	+	149.7	6
	expressed	Verb	1	-	149.7	29
	landlords	NoC	1	-	149.3	27
	wall	NoC	121	+	149.3	51
	mince	NoC	23	+	149.2	0
	useful	Adj	25	-	149.1	80
	among	Prep	5	-	148.9	40
	work	Verb	323	-	148.9	478
	database	NoC	3	-	148.8	35
	elsewhere	Adv	5	-	148.7	40
	coal	NoC	26	-	148.6	83
	watched	Verb	56	+	148.4	13
	carbon	NoC	4	-	148.4	37
	approval	NoC	1	-	148.3	28
	film	NoC	103	+	148.2	40
	lead	Verb	12	-	148.1	56
	let	Verb	481	+	148.1	328
	regulations	NoC	3	-	148.1	34
	residents	NoC	2	-	148.0	33
	means	NoC	21	-	147.8	73
	special	Adj	75	-	147.8	159
	boo	Int	19	+	147.7	0
	farmers	NoC	5	-	147.4	41
	distribution	NoC	2	-	147.4	31
	floor	NoC	140	+	147.4	64
	walkman	NoC	25	+	147.1	1
	discussions	NoC	2	-	147.0	33
	Gary	NoP	61	+	146.9	16
	engineering	NoC	4	-	146.6	36
	events	NoC	4	-	146.6	36
	Banbury	NoP	3	-	146.6	33
	departments	NoC	1	-	146.3	28
	described	Verb	5	-	146.3	40
	pensions	NoC	3	-	146.0	35
	acceptable	Adj	4	-	145.7	36
	fox	NoC	4	-	145.7	37
	shopping	Verb	42	+	145.5	7
	statutory	Adj	1	-	145.4	29
	laugh	NoC	37	+	145.4	5
	males	NoC	1	-	145.3	27
	gravy	NoC	24	+	145.2	1
	memory	NoC	12	-	145.1	56
	relief	NoC	12	-	145.0	55
	kids	NoC	169	+	145.0	85
	socks	NoC	41	+	144.9	6
	formula	NoC	2	-	144.8	31
	protect	Verb	5	-	144.6	39
	employer	NoC	2	-	144.4	30
	presumably	Adv	19	-	144.4	69
	facts	NoC	3	-	144.4	34
	form	Verb	5	-	144.3	39
	communication	NoC	3	-	144.1	34
	words	NoC	142	-	144.0	248
	Lorna	NoP	22	+	144.0	0
	very	Adj	19	-	143.9	69
	sufficient	Adj	4	-	143.9	36
	carpet	NoC	55	+	143.8	13
	custard	NoC	21	+	143.2	0
	Nottinghamshire	NoP	0	-	143.1	24
	contact	NoC	16	-	142.9	63
	opposition	NoC	2	-	142.9	31
	tremendous	Adj	11	-	142.8	52
	share	NoC	7	-	142.8	43
	increased	Adj	0	-	142.7	25
	flipping	Adj	29	+	142.7	2
	individual	NoC	3	-	142.5	33
	key	Adj	14	-	142.4	58
	stuck	Verb	70	+	142.3	21
	Paula	NoP	30	+	142.2	3
	equally	Adv	4	-	142.1	35
	speaker	NoC	12	-	142.0	55
	Rebecca	NoP	28	+	141.9	2
	Abingdon	NoP	0	-	141.8	22
	bother	Verb	100	+	141.6	39
	citizens	NoC	2	-	141.5	29
	gentlemen	NoC	4	-	141.3	37
	leader	NoC	11	-	141.2	53
	tend	Verb	38	-	141.1	100
	due to	Prep	5	-	141.1	39
	managers	NoC	5	-	140.8	38
	Pete	NoP	47	+	140.7	9
	maintain	Verb	3	-	140.7	33
	local	NoC	3	-	140.5	34
	commercial	Adj	4	-	140.4	37
	submission	NoC	1	-	140.4	27
	teeth	NoC	58	+	140.3	15
	related	Verb	6	-	140.3	40
	prior to	Prep	1	-	140.3	26
	phrase	NoC	4	-	140.3	36
	kinds	NoC	6	-	140.2	42
	making	Verb	159	-	140.1	269
	loss	NoC	8	-	140.0	46
	help	NoC	41	-	140.0	105
	decide	Verb	33	-	140.0	93
	degree	NoC	15	-	140.0	60
	negotiations	NoC	0	-	140.0	23
	youth	NoC	5	-	139.9	38
	incident	NoC	1	-	139.8	27
	right	NoC	33	-	139.8	91
	pissed	Verb	21	+	139.7	0
	users	NoC	1	-	139.6	28
	room	NoC	301	+	139.5	186
	remain	Verb	4	-	139.4	35
	yellow	Adj	79	+	139.3	27
	goal	NoC	16	-	139.0	61
	conservative*	Adj	11	-	138.9	52
	governments	NoC	1	-	138.8	27
	strike	NoC	8	-	138.8	45
	directive	NoC	0	-	138.6	22
	accounts	NoC	8	-	138.6	46
	rules	NoC	16	-	138.6	62
	resistance	NoC	1	-	138.4	26
	wicked	Adj	36	+	138.3	5
	thick	Adj	64	+	138.2	19
	grandpa	NoC	20	+	137.9	0
	Jesus	NoP	58	-	137.9	129
	unfortunately	Adv	23	-	137.9	74
	aircraft	NoC	4	-	137.8	36
	wonder	Verb	174	+	137.8	90
	juice	NoC	33	+	137.8	4
	western	Adj	6	-	137.7	40
	Julie	NoP	40	+	137.7	7
	partnership	NoC	2	-	137.6	29
	Joe	NoP	56	+	137.6	14
	pit	NoC	4	-	137.6	35
	happening	Verb	47	-	136.9	113
	abuse	NoC	2	-	136.8	29
	option	NoC	9	-	136.6	46
	sitting	Verb	165	+	136.6	84
	officials	NoC	0	-	136.6	21
	established	Verb	3	-	136.3	31
	right	Adj	1160	+	136.2	923
	standard	Adj	9	-	136.1	48
	Jackie	NoP	41	+	136.1	7
	X. / x.	Lett	3	-	136.0	32
	representatives	NoC	2	-	135.9	29
	squared	Verb	14	-	135.8	57
	published	Verb	3	-	135.8	33
	initiative	NoC	1	-	135.7	28
	jury	NoC	1	-	135.7	28
	Ange	NoP	18	+	135.1	0
	modern	Adj	21	-	135.1	69
	charge	NoC	21	-	135.1	69
	dice	NoC	22	+	135.0	1
	administration	NoC	2	-	134.9	29
	Brighton	NoP	1	-	134.9	27
	whether or not	Conj	4	-	134.8	34
	physical	Adj	6	-	134.7	40
	y'know	Uncl	0	-	134.6	24  
	duck	NoC	39	+	134.4	7
	spoon	NoC	26	+	134.3	2
	sugar	NoC	66	+	134.2	20
	Matt	NoP	30	+	134.2	3
	top	NoC	258	+	134.2	154
	spider	NoC	23	+	134.1	1
	article	NoC	8	-	133.9	44
	understanding	NoC	8	-	133.9	44
	fifty	Num	421	-	133.9	585
	proceed	Verb	0	-	133.8	22
	under	Prep	169	-	133.7	279
	whole	Adj	181	-	133.6	294
	Scotland	NoP	19	-	133.6	67
	parties	NoC	12	-	133.6	52
	possibility	NoC	12	-	133.6	52
	spirit	NoC	16	-	133.6	61
	Karen	NoP	44	+	133.6	9
	Vicki	NoP	21	+	133.6	0
	developed	Verb	6	-	133.5	40
	favour	NoC	14	-	133.4	56
	concerns	NoC	1	-	133.4	25
	list	NoC	69	-	133.3	144
	hat	NoC	57	+	133.1	15
	apple	NoC	42	+	133.1	8
	eggs	NoC	59	+	133.0	17
	competition	NoC	17	-	133.0	62
	smell	Verb	47	+	132.7	10
	average	NoC	6	-	132.6	39
	no longer	Adv	8	-	132.3	44
	with regard to	Prep	1	-	132.2	24
	situations	NoC	4	-	132.2	34
	security	NoC	20	-	132.2	68
	self	NoC	19	-	132.0	66
	onion	NoC	20	+	131.8	0
	tomato	NoC	20	+	131.8	0
	arts	NoC	5	-	131.8	38
	criterion	NoC	0	-	131.7	22
	Claire	NoP	43	+	131.6	8
	terrible	Adj	125	+	131.4	57
	units	NoC	12	-	131.4	53
	publicity	NoC	3	-	131.4	31
	dark	Adj	67	+	131.4	21
	nowt	Pron	28	+	131.3	3
	require	Verb	3	-	131.2	33
	Tracey	NoP	35	+	131.1	5
	pop	Verb	49	+	131.1	12
	pint	NoC	37	+	131.0	6
	jacket	NoC	43	+	131.0	9
	lack	NoC	6	-	130.6	40
	created	Verb	5	-	130.3	36
	election	NoC	14	-	130.3	57
	involvement	NoC	1	-	130.2	24
	base	NoC	16	-	130.1	60
	Johnny	NoP	31	+	130.0	4
	pension	NoC	35	-	129.9	92
	sherry	NoC	21	+	129.8	1
	supply	NoC	10	-	129.7	49
	drawer	NoC	28	+	129.7	3
	meet	Verb	58	-	129.6	127
	swimming	Verb	32	+	129.4	4
	trustees	NoC	0	-	129.3	20
	Skelton	NoP	0	-	129.3	20
	establish	Verb	1	-	129.2	24
	links	NoC	2	-	129.2	28
	working	Verb	212	-	129.0	330
	idea	NoC	186	-	128.8	298
	plastic	NoC	54	+	128.7	14
	carers	NoC	0	-	128.7	22
	arising	Verb	0	-	128.7	22
	producing	Verb	3	-	128.7	31
	degrees	NoC	10	-	128.2	48
	represents	Verb	1	-	128.0	25
	boundaries	NoC	2	-	128.0	27
